Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Perimeter_ZN_4_wall_west_Window_4
Window_U_0.504_SHGC_West_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer West,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,50

Perimeter_ZN_4_wall_west_Window_3
Window_U_0.504_SHGC_West_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer West,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,50

Perimeter_ZN_4_wall_west_Window_2
Window_U_0.504_SHGC_West_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer West,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,50

Perimeter_ZN_4_wall_west_Window_1
Window_U_0.504_SHGC_West_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer West,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,50

Perimeter_ZN_2_wall_east_Window_4
Window_U_0.504_SHGC_East_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer East,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,76

Perimeter_ZN_2_wall_east_Window_3
Window_U_0.504_SHGC_East_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer East,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,76

Perimeter_ZN_2_wall_east_Window_2
Window_U_0.504_SHGC_East_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer East,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,76

Perimeter_ZN_2_wall_east_Window_1
Window_U_0.504_SHGC_East_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer East,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,76

Perimeter_ZN_1_wall_south_Window_1
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_1_wall_south_Window_2
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_1_wall_south_Window_3
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_1_wall_south_Window_4
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_1_wall_south_Window_5
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_1_wall_south_Window_6
Window_U_0.504_SHGC_South_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer South,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,63

Perimeter_ZN_3_wall_north_Window_1
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_3_wall_north_Window_2
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_3_wall_north_Window_3
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_3_wall_north_Window_4
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_3_wall_north_Window_5
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_3_wall_north_Window_6
Window_U_0.504_SHGC_North_0.229
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Glazing Layer North,0.0,None,None,None,None,None,None,None,None,2.86184304,0.229,0.2519,37

Perimeter_ZN_1_wall_south_door
Window_U_0.504_SHGC_South_0.229
